Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
1,0.00273973,348.429,0.954599,100,3.48429,0.04,-12.8928
2,0.00547945,390.38,1.06953,100,3.9038,0.08,-3.62145
3,0.00821918,369.289,1.01175,100,3.69289,0.08,-4.37443
4,0.0109589,360.022,0.986363,100,3.60022,0.08,-0.342814
5,0.0136986,356.022,0.975403,100,3.56022,0.08,-2.22031e-14
6,0.0164384,376.023,1.0302,100,3.76023,0.08,4.44062e-14
7,0.0191781,344.021,0.942524,100,3.44021,0.08,-4.44062e-14
8,0.0219178,344.021,0.942524,100,3.44021,0.08,0
9,0.0246575,372.023,1.01924,100,3.72023,0.08,2.22031e-14
10,0.0273973,364.023,0.997322,100,3.64023,0.08,0
11,0.030137,356.022,0.975403,100,3.56022,0.08,-2.22031e-14
12,0.0328767,372.023,1.01924,100,3.72023,0.08,2.22031e-14
13,0.0356164,348.022,0.953484,100,3.48022,0.08,-2.22031e-14
14,0.0383562,360.022,0.986363,100,3.60022,0.08,2.22031e-14
15,0.0410959,372.023,1.01924,100,3.72023,0.08,0
16,0.0438356,360.022,0.986363,100,3.60022,0.08,0
17,0.0465753,372.023,1.01924,100,3.72023,0.08,0
18,0.0493151,360.022,0.986363,100,3.60022,0.08,0
19,0.0520548,384.024,1.05212,100,3.84024,0.08,2.22031e-14
20,0.0547945,364.023,0.997322,100,3.64023,0.08,-2.22031e-14
21,0.0575342,384.024,1.05212,100,3.84024,0.08,2.22031e-14
22,0.060274,356.022,0.975403,100,3.56022,0.08,-4.44062e-14
23,0.0630137,376.023,1.0302,100,3.76023,0.08,4.44062e-14
24,0.0657534,360.022,0.986363,100,3.60022,0.08,-2.22031e-14
25,0.0684932,356.022,0.975403,100,3.56022,0.08,-2.22031e-14
26,0.0712329,372.023,1.01924,100,3.72023,0.08,2.22031e-14
27,0.0739726,348.022,0.953484,100,3.48022,0.08,-2.22031e-14
28,0.0767123,348.022,0.953484,100,3.48022,0.08,0
29,0.0794521,356.022,0.975403,100,3.56022,0.08,0
30,0.0821918,376.023,1.0302,100,3.76023,0.08,4.44062e-14
31,0.0849315,364.023,0.997322,100,3.64023,0.08,-2.22031e-14
32,0.0876712,360.022,0.986363,100,3.60022,0.08,0
33,0.090411,356.022,0.975403,100,3.56022,0.08,-2.22031e-14
34,0.0931507,376.023,1.0302,100,3.76023,0.08,4.44062e-14
35,0.0958904,356.022,0.975403,100,3.56022,0.08,-4.44062e-14
36,0.0986301,376.023,1.0302,100,3.76023,0.08,4.44062e-14
37,0.10137,344.021,0.942524,100,3.44021,0.08,-4.44062e-14
38,0.10411,388.024,1.06308,100,3.88024,0.08,4.44062e-14
39,0.106849,360.022,0.986363,100,3.60022,0.08,-2.22031e-14
40,0.109589,372.023,1.01924,100,3.72023,0.08,0
41,0.112329,356.022,0.975403,100,3.56022,0.08,-2.22031e-14
42,0.115068,372.023,1.01924,100,3.72023,0.08,2.22031e-14
43,0.117808,372.023,1.01924,100,3.72023,0.08,0
44,0.120548,352.022,0.964444,100,3.52022,0.08,-2.22031e-14
