Cycle,UnemploymentRate
1,4
2,8
3,8
4,8
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8.91089
65,8.91089
66,8.91089
67,8.91089
68,8.91089
69,8.91089
70,8.91089
71,8.91089
72,8.91089
73,8.91089
74,8.91089
75,8.91089
76,8.91089
77,8.91089
78,8.91089
79,8.91089
80,8.91089
81,8.91089
82,8.91089
83,8.91089
84,8.91089
85,8.91089
86,8.91089
87,8.91089
88,8.91089
89,8.91089
90,8.91089
91,8.91089
92,8.91089
93,8.91089
94,8.91089
95,8.91089
96,8.91089
97,8.91089
98,8.91089
99,8.91089
100,8.91089
101,8.91089
102,8.91089
103,8.91089
104,8.91089
105,8.91089
106,9.80392
107,9.80392
108,9.80392
109,9.80392
110,9.80392
111,9.80392
112,9.80392
113,9.80392
114,9.80392
115,9.80392
116,9.80392
117,9.80392
118,9.80392
119,9.80392
120,9.80392
121,9.80392
122,9.80392
123,9.80392
124,9.80392
125,9.80392
126,9.80392
127,9.80392
128,9.80392
129,9.80392
130,9.80392
131,9.80392
132,9.80392
133,9.80392
134,9.80392
135,9.80392
136,9.80392
137,9.80392
138,9.80392
139,9.80392
140,9.80392
141,9.80392
142,9.80392
143,9.80392
144,9.80392
145,9.80392
146,9.80392
147,9.80392
148,9.80392
149,9.80392
150,9.80392
151,9.80392
152,9.80392
153,9.80392
154,9.80392
155,9.80392
156,9.80392
157,9.80392
158,9.80392
159,9.80392
160,9.80392
161,9.80392
162,9.80392
163,9.80392
164,9.80392
165,9.80392
166,9.80392
167,9.80392
168,9.80392
169,9.80392
170,9.80392
171,9.80392
172,9.80392
173,9.80392
174,9.80392
175,9.80392
176,9.80392
177,9.80392
178,9.80392
179,9.80392
180,9.80392
181,9.80392
182,10.6796
183,10.6796
184,10.6796
185,10.6796
186,10.6796
187,10.6796
188,10.6796
189,10.6796
190,10.6796
191,10.6796
192,10.6796
193,10.6796
194,10.6796
195,10.6796
196,10.6796
197,10.6796
198,10.6796
199,10.6796
200,10.6796
201,10.6796
202,10.6796
203,10.6796
204,10.6796
205,10.6796
206,10.6796
207,10.6796
208,10.6796
209,10.6796
210,10.6796
211,10.6796
212,10.6796
213,10.6796
214,10.6796
215,10.6796
216,10.6796
217,10.6796
218,10.6796
219,10.6796
220,10.6796
221,10.6796
222,10.6796
223,10.6796
224,10.6796
225,10.6796
226,10.6796
227,10.6796
228,10.6796
229,10.6796
230,10.6796
231,10.6796
232,10.6796
233,10.6796
234,10.6796
235,10.6796
236,10.6796
237,10.6796
238,11.5385
239,11.5385
240,11.5385
241,11.5385
242,11.5385
243,11.5385
244,11.5385
245,11.5385
246,11.5385
247,11.5385
248,11.5385
249,11.5385
250,11.5385
251,11.5385
252,11.5385
253,11.5385
254,11.5385
255,11.5385
256,11.5385
257,11.5385
258,11.5385
259,11.5385
260,11.5385
261,11.5385
262,11.5385
263,12.381
264,12.381
265,12.381
266,12.381
267,12.381
268,12.381
269,12.381
270,12.381
271,12.381
272,12.381
273,12.381
274,12.381
275,12.381
276,12.381
277,12.381
278,12.381
279,12.381
280,12.381
281,12.381
282,12.381
283,12.381
284,12.381
285,12.381
286,12.381
287,12.381
288,12.381
289,12.381
290,12.381
291,12.381
292,12.381
293,12.381
294,12.381
295,12.381
296,12.381
297,12.381
298,12.381
299,12.381
300,12.381
301,12.381
302,12.381
303,12.381
304,12.381
305,12.381
306,12.381
307,12.381
308,12.381
309,12.381
310,12.381
311,12.381
312,12.381
313,12.381
314,12.381
315,12.381
316,12.381
317,12.381
318,12.381
319,12.381
320,12.381
321,12.381
322,12.381
323,12.381
324,12.381
325,12.381
326,12.381
327,12.381
328,12.381
329,12.381
330,12.381
331,12.381
332,12.381
333,12.381
334,12.381
335,12.381
336,12.381
337,12.381
338,12.381
339,12.381
340,12.381
341,12.381
342,12.381
343,12.381
344,12.381
345,12.381
346,12.381
347,12.381
348,12.381
349,12.381
350,12.381
351,12.381
352,12.381
353,12.381
354,12.381
355,12.381
356,12.381
357,12.381
358,12.381
359,12.381
360,12.381
361,12.381
362,12.381
363,12.381
364,12.381
365,12.381
366,12.381
367,12.381
368,12.381
369,12.381
370,12.381
371,12.381
372,12.381
373,13.2075
374,13.2075
375,13.2075
376,13.2075
377,13.2075
378,13.2075
379,13.2075
380,13.2075
381,13.2075
382,13.2075
383,13.2075
384,13.2075
385,13.2075
386,13.2075
387,13.2075
388,13.2075
389,13.2075
390,13.2075
391,13.2075
392,13.2075
393,13.2075
394,13.2075
395,13.2075
396,13.2075
397,13.2075
398,13.2075
399,13.2075
400,13.2075
401,13.2075
402,13.2075
403,13.2075
404,13.2075
405,13.2075
406,13.2075
407,13.2075
408,13.2075
409,13.2075
410,13.2075
411,13.2075
412,13.2075
413,13.2075
414,13.2075
415,13.2075
416,13.2075
417,13.2075
418,13.2075
419,13.2075
420,14.0187
421,14.0187
422,14.0187
423,14.0187
424,14.0187
425,14.0187
426,14.0187
427,14.0187
428,14.0187
429,14.0187
430,14.0187
431,14.0187
432,14.0187
433,14.8148
434,14.8148
435,14.8148
436,14.8148
437,14.8148
438,14.8148
439,14.8148
440,14.8148
441,14.8148
442,14.8148
443,14.8148
444,14.8148
445,14.8148
446,14.8148
447,14.8148
448,14.8148
449,14.8148
450,14.8148
451,14.8148
452,14.8148
453,14.8148
454,14.8148
455,14.8148
456,14.8148
457,14.8148
458,14.8148
459,14.8148
460,14.8148
461,14.8148
462,14.8148
463,14.8148
464,14.8148
465,14.8148
466,14.8148
467,14.8148
468,14.8148
469,14.8148
470,14.8148
471,14.8148
472,14.8148
473,14.8148
474,14.8148
475,14.8148
