Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
1,0.00273973,319.463,0,100,3.19463,18,0
2,0.00547945,434.281,0,100,4.34281,11,-3.33105
3,0.00821918,368.222,0,100,3.68222,17,-0.896138
4,0.0109589,379.401,0,100,3.79401,18,7.21304
5,0.0136986,340.168,0,100,3.40168,12,-0.973289
6,0.0164384,424.616,0,100,4.24616,10,-1.60812
7,0.0191781,397.024,0,100,3.97024,11,0.603213
8,0.0219178,358.225,0,100,3.58225,13,-3.67607
9,0.0246575,431.236,0,100,4.31236,12,0.0924325
10,0.0273973,408.94,0,100,4.0894,12,1.6849
11,0.030137,291.309,0,100,2.91309,15,0.212263
12,0.0328767,422.119,0,100,4.22119,14,1.77776
13,0.0356164,396.802,0,100,3.96802,15,-4.86502
14,0.0383562,321.044,0,100,3.21044,14,13.8194
15,0.0410959,386.346,0,100,3.86346,17,-6.57775
16,0.0438356,386.915,0,100,3.86915,20,1.48282
17,0.0465753,378.173,0,100,3.78173,20,0.418228
18,0.0493151,321.916,0,100,3.21916,14,1.86989
19,0.0520548,476.452,0,100,4.76452,8,1.44147
20,0.0547945,350.901,0,100,3.50901,11,-10.209
21,0.0575342,355.049,0,100,3.55049,11,8.62186
22,0.060274,385.037,0,100,3.85037,16,-7.82059
23,0.0630137,348.755,0,100,3.48755,15,9.79031
24,0.0657534,436.544,0,100,4.36544,18,-2.80754
25,0.0684932,295.67,0,100,2.9567,14,-4.04977
26,0.0712329,435.303,0,100,4.35303,9,-3.98292
27,0.0739726,395.308,0,100,3.95308,18,0.659091
28,0.0767123,260.765,0,100,2.60765,18,19.0239
29,0.0794521,420.342,0,100,4.20342,21,-9.57308
30,0.0821918,349.482,0,100,3.49482,16,-5.31013
31,0.0849315,384.552,0,100,3.84552,14,-3.3842
32,0.0876712,372.54,0,100,3.7254,16,-7.62932
33,0.090411,323.626,0,100,3.23626,10,20.4972
34,0.0931507,346.109,0,100,3.46109,11,0.465652
35,0.0958904,362.742,0,100,3.62742,12,3.24137
36,0.0986301,360.438,0,100,3.60438,19,-8.8022
37,0.10137,323.971,0,100,3.23971,22,5.82955
38,0.10411,352.507,0,100,3.52507,21,-4.98438
39,0.106849,350.937,0,100,3.50937,18,14.006
40,0.109589,386.348,0,100,3.86348,15,-11.3557
41,0.112329,402.242,0,100,4.02242,19,-5.68505
42,0.115068,438.872,0,100,4.38872,20,-3.39529
43,0.117808,405.053,0,100,4.05053,27,12.1548
44,0.120548,270.27,0,100,2.7027,26,3.3577
45,0.123288,435.674,0,100,4.35674,25,-5.50356
46,0.126027,290.866,0,100,2.90866,19,0.143252
47,0.128767,462.127,0,100,4.62127,17,2.3892
48,0.131507,268.201,0,100,2.68201,18,-6.72765
49,0.134247,376.776,0,100,3.76776,19,24.8738
50,0.136986,395.895,0,100,3.95895,19,-11.7376
51,0.139726,379.186,0,100,3.79186,17,-7.90451
52,0.142466,412.066,0,100,4.12066,24,3.37027
53,0.145205,347.243,0,100,3.47243,16,-10.2591
54,0.147945,409.195,0,100,4.09195,19,16.3302
55,0.150685,425.097,0,100,4.25097,15,-7.91908
56,0.153425,351.906,0,100,3.51906,15,-5.39145
57,0.156164,353.233,0,100,3.53233,18,-2.16413
58,0.158904,379.291,0,100,3.79291,27,3.44858
59,0.161644,403.172,0,100,4.03172,24,-3.15236
60,0.164384,381.894,0,100,3.81894,23,15.2029
61,0.167123,382.733,0,100,3.82733,15,-2.41753
62,0.169863,351.728,0,100,3.51728,15,1.22195
63,0.172603,346.18,0,100,3.4618,19,-8.22748
64,0.175342,310.166,0,100,3.10166,22,10.5027
65,0.178082,447.086,0,100,4.47086,22,-1.71982
66,0.180822,301.876,0,100,3.01876,20,-5.68521
67,0.183562,395.425,0,100,3.95425,23,3.15386
68,0.186301,419.268,0,100,4.19268,22,-3.6093
69,0.189041,411.157,0,100,4.11157,18,-7.20693
70,0.191781,315.638,0,100,3.15638,22,13.3247
71,0.194521,417.483,0,100,4.17483,20,-4.22088
72,0.19726,278.484,0,100,2.78484,20,5.516
73,0.2,447.917,0,100,4.47917,14,9.21298
74,0.20274,283.596,0,100,2.83596,8,-19.8677
75,0.205479,410.9,0,100,4.109,14,7.82458
76,0.208219,399.726,0,100,3.99726,19,-1.5749
77,0.210959,363.846,0,100,3.63846,19,1.80297
78,0.213699,372.805,0,100,3.72805,13,-1.42875
79,0.216438,434.292,0,100,4.34292,17,5.78121
80,0.219178,284.04,0,100,2.8404,10,-3.55828
81,0.221918,406.759,0,100,4.06759,17,-0.599053
82,0.224658,319.093,0,100,3.19093,14,-0.477037
83,0.227397,370.549,0,100,3.70549,12,1.04448
84,0.230137,384.627,0,100,3.84627,12,-3.70421
85,0.232877,350.066,0,100,3.50066,13,2.08359
86,0.235616,408.806,0,100,4.08806,13,4.11703
87,0.238356,431.99,0,100,4.3199,9,-7.6768
88,0.241096,368.579,0,100,3.68579,19,12.5764
89,0.243836,406.223,0,100,4.06223,21,-7.72832
90,0.246575,326.839,0,100,3.26839,18,0.281044
91,0.249315,369.856,0,100,3.69856,17,8.44637
92,0.252055,385.247,0,100,3.85247,11,1.34618
93,0.254795,363.776,0,100,3.63776,23,-14.7857
94,0.257534,404.744,0,100,4.04744,18,11.2619
95,0.260274,372.752,0,100,3.72752,18,4.88698
96,0.263014,361.245,0,100,3.61245,13,-1.72221
97,0.265753,388.61,0,101,3.84762,14.8515,3.21407
98,0.268493,406.539,0,101,4.02514,17.8218,-8.92448
99,0.271233,333.542,0,101,3.3024,13.8614,4.08589
100,0.273973,379.79,0,101,3.76029,6.93069,-2.19231
101,0.276712,374.999,0,101,3.71286,10.8911,1.33698
102,0.279452,319.645,0,101,3.1648,13.8614,-6.11365
103,0.282192,448.104,0,101,4.43667,14.8515,4.0103
104,0.284932,244.73,0,101,2.42307,12.8713,10.4164
105,0.287671,434.821,0,101,4.30516,16.8317,-9.18888
106,0.290411,340.864,0,101,3.37489,18.8119,5.30247
107,0.293151,372.344,0,101,3.68657,22.7723,3.08109
108,0.29589,434.585,0,101,4.30282,18.8119,-11.8422
109,0.29863,265.869,0,101,2.63237,20.7921,15.0141
110,0.30137,380.397,0,101,3.76631,20.7921,-5.8705
111,0.30411,359.388,0,101,3.5583,21.7822,13.9725
112,0.306849,394.415,0,101,3.9051,16.8317,-9.02609
113,0.309589,393.365,0,101,3.8947,12.8713,-8.67768
114,0.312329,450.092,0,101,4.45636,16.8317,2.11778
115,0.315068,370.009,0,101,3.66345,21.7822,-1.98355
116,0.317808,393.774,0,101,3.89875,24.7525,3.76218
117,0.320548,435.877,0,101,4.31561,23.7624,-3.74583
118,0.323288,365.179,0,101,3.61563,25.7426,-4.84224
119,0.326027,435.566,0,101,4.31253,20.7921,6.16759
120,0.328767,368.838,0,101,3.65186,19.802,0.0766426
121,0.331507,388.724,0,101,3.84875,17.8218,-1.03484
122,0.334247,423.907,0,101,4.1971,11.8812,-2.80241
123,0.336986,326.453,0,101,3.23221,16.8317,5.7459
124,0.339726,347.78,0,101,3.44337,14.8515,-0.865223
125,0.342466,463.365,0,101,4.58777,11.8812,2.05234
126,0.345205,332.014,0,101,3.28726,14.8515,-6.45342
127,0.347945,387.016,0,101,3.83184,12.8713,8.99713
128,0.350685,413.17,0,101,4.09079,10.8911,-2.13874
129,0.353425,399.03,0,101,3.9508,9.90099,1.40676
130,0.356164,411.773,0,101,4.07696,13.8614,-8.27248
131,0.358904,381.72,0,101,3.7794,18.8119,4.28905
132,0.361644,332.941,0,101,3.29645,20.7921,9.02684
133,0.364384,425.361,0,101,4.21149,21.7822,-9.14958
134,0.367123,376.579,0,101,3.72851,18.8119,9.1488
135,0.369863,379.883,0,101,3.76122,16.8317,-10.1946
136,0.372603,342.429,0,101,3.39038,18.8119,-7.6059
137,0.375342,336.934,0,101,3.33598,17.8218,22.9941
138,0.378082,439.504,0,101,4.35153,8.91089,-10.2332
139,0.380822,246.29,0,101,2.43852,10.8911,-5.24445
140,0.383562,393.539,0,101,3.89643,6.93069,9.85328
141,0.386301,406.28,0,101,4.02258,13.8614,1.96307
142,0.389041,392.648,0,101,3.8876,15.8416,-11.043
143,0.391781,436.856,0,101,4.32531,17.8218,10.0088
144,0.394521,394.662,0,101,3.90755,19.802,-0.735929
145,0.39726,351.279,0,101,3.47801,17.8218,1.54377
146,0.4,379.003,0,101,3.75251,17.8218,-5.42769
147,0.40274,335.513,0,101,3.32192,12.8713,12.0398
148,0.405479,395.468,0,101,3.91552,12.8713,0.581905
149,0.408219,440.269,0,101,4.3591,14.8515,-10.2187
150,0.410959,350.167,0,101,3.467,11.8812,-6.37065
151,0.413699,404.307,0,101,4.00304,8.91089,14.018
152,0.416438,350.543,0,101,3.47073,17.8218,0.524423
153,0.419178,402.253,0,101,3.98271,14.8515,8.46359
154,0.421918,427.706,0,101,4.23471,15.8416,-8.68349
155,0.424658,390.737,0,101,3.86868,13.8614,-9.70587
156,0.427397,338.19,0,101,3.34842,5.94059,16.3041
157,0.430137,408.237,0,101,4.04195,15.8416,4.39983
158,0.432877,328.978,0,101,3.25721,12.8713,-9.64711
159,0.435616,370.792,0,101,3.67121,12.8713,1.90259
160,0.438356,463.559,0,101,4.5897,13.8614,-1.8671
161,0.441096,394.406,0,101,3.90501,9.90099,0.15982
162,0.443836,295.563,0,101,2.92636,18.8119,2.07179
163,0.446575,428.939,0,101,4.24692,19.802,-6.47426
164,0.449315,318.411,0,101,3.15258,20.7921,1.22581
165,0.452055,402.655,0,101,3.98668,19.802,4.32749
166,0.454795,392.247,0,101,3.88364,19.802,-0.0868385
167,0.457534,432.056,0,101,4.27778,18.8119,1.07766
168,0.460274,304.681,0,101,3.01665,21.7822,-0.0981153
169,0.463014,445.764,0,101,4.41351,23.7624,3.27417
170,0.465753,327.396,0,101,3.24155,22.7723,-13.2928
171,0.468493,396.563,0,101,3.92637,22.7723,11.8089
172,0.471233,345.864,0,101,3.4244,18.8119,-8.07022
173,0.473973,389.877,0,101,3.86017,18.8119,-0.694205
174,0.476712,438.605,0,101,4.34262,7.92079,1.61126
175,0.479452,333.29,0,101,3.2999,8.91089,10.4211
176,0.482192,397.211,0,101,3.93278,12.8713,-12.3283
177,0.484932,394.78,0,101,3.90871,16.8317,8.08434
178,0.487671,395.721,0,101,3.91803,17.8218,5.51425
179,0.490411,468.716,0,101,4.64076,23.7624,-2.15324
180,0.493151,376.659,0,101,3.72929,19.802,-0.0934454
181,0.49589,377.21,0,101,3.73475,20.7921,5.86896
182,0.49863,380.301,0,101,3.76535,18.8119,-7.13996
183,0.50137,304.275,0,101,3.01263,14.8515,6.67886
184,0.50411,380.098,0,101,3.76335,18.8119,-12.0939
185,0.506849,309.588,0,101,3.06523,17.8218,3.0845
186,0.509589,345.773,0,101,3.4235,9.90099,8.30373
187,0.512329,438.74,0,101,4.34396,13.8614,-13.6648
188,0.515068,431.151,0,101,4.26883,15.8416,1.40657
189,0.517808,379.956,0,101,3.76194,18.8119,7.58223
190,0.520548,353.804,0,101,3.50301,20.7921,-0.416455
191,0.523288,309.793,0,101,3.06726,16.8317,1.6835
192,0.526027,419.104,0,101,4.14955,17.8218,-2.46889
193,0.528767,268.58,0,101,2.65921,16.8317,3.98573
194,0.531507,406.486,0,101,4.02462,18.8119,-0.970726
195,0.534247,356.672,0,101,3.53141,17.8218,-12.2549
196,0.536986,360.662,0,101,3.57091,15.8416,17.0086
197,0.539726,438.628,0,101,4.34285,14.8515,-10.3871
198,0.542466,361.169,0,101,3.57593,7.92079,1.58901
199,0.545205,409.93,0,101,4.05872,10.8911,7.89607
200,0.547945,366.846,0,101,3.63213,15.8416,-5.86143
201,0.550685,433.59,0,101,4.29297,11.8812,5.82511
202,0.553425,427.429,0,101,4.23197,13.8614,-0.261322
203,0.556164,396.354,0,101,3.9243,18.8119,2.36407
204,0.558904,386.925,0,101,3.83094,20.7921,-3.63053
205,0.561644,317.876,0,101,3.14729,18.8119,1.71515
206,0.564384,350.512,0,101,3.47042,15.8416,0.678421
207,0.567123,440.461,0,101,4.361,16.8317,-2.57645
208,0.569863,396.738,0,101,3.9281,16.8317,-2.23751
209,0.572603,415.624,0,101,4.11509,12.8713,4.76039
210,0.575342,340.563,0,101,3.37191,19.802,-5.36507
211,0.578082,369.416,0,101,3.65759,22.7723,-2.51224
212,0.580822,414.339,0,101,4.10237,23.7624,10.7585
213,0.583562,360.647,0,101,3.57076,29.703,-7.15563
214,0.586301,382.368,0,101,3.78583,23.7624,6.02286
215,0.589041,357.73,0,101,3.54188,20.7921,3.18716
216,0.591781,424.899,0,101,4.20692,18.8119,-11.244
217,0.594521,368.956,0,101,3.65302,20.7921,8.24477
218,0.59726,410.679,0,101,4.06613,16.8317,-6.60307
219,0.6,386.112,0,101,3.82289,20.7921,2.24441
220,0.60274,375.071,0,101,3.71357,17.8218,6.45528
221,0.605479,291.283,0,101,2.88399,18.8119,6.9669
222,0.608219,375.55,0,101,3.71832,16.8317,-15.6388
223,0.610959,352.742,0,101,3.4925,17.8218,-3.69534
224,0.613699,462.228,0,101,4.57651,14.8515,16.3151
225,0.616438,254.182,0,101,2.51665,17.8218,-4.03608
226,0.619178,459.319,0,101,4.54771,18.8119,-0.903819
227,0.621918,355.209,0,101,3.51692,26.7327,-2.81013
228,0.624658,426.388,0,101,4.22166,25.7426,3.28897
229,0.627397,312.929,0,101,3.09831,25.7426,6.97648
230,0.630137,457.276,0,101,4.52749,28.7129,-7.29535
231,0.632877,378.598,0,101,3.7485,28.7129,2.66482
232,0.635616,315.393,0,101,3.1227,26.7327,-2.37648
233,0.638356,426.236,0,101,4.22016,24.7525,0.572683
234,0.641096,350.669,0,101,3.47197,20.7921,-6.90387
235,0.643836,397.575,0,101,3.93639,23.7624,14.8879
236,0.646575,419.653,0,101,4.15498,19.802,-5.75606
237,0.649315,316.037,0,101,3.12908,20.7921,-1.15689
238,0.652055,390.812,0,101,3.86942,19.802,2.78246
239,0.654795,380.983,0,101,3.77211,9.90099,-10.6387
240,0.657534,419.619,0,101,4.15465,15.8416,2.79849
241,0.660274,336.743,0,101,3.33409,15.8416,0.312199
242,0.663014,413.345,0,101,4.09253,14.8515,9.1092
243,0.665753,420.692,0,101,4.16527,12.8713,-10.3916
244,0.668493,380.227,0,101,3.76462,18.8119,7.98798
245,0.671233,310.479,0,101,3.07405,14.8515,3.07421
246,0.673973,477.434,0,101,4.72707,11.8812,-3.29707
247,0.676712,381.532,0,101,3.77754,13.8614,0.669555
248,0.679452,366.919,0,101,3.63286,15.8416,-5.06291
249,0.682192,407.021,0,101,4.02991,16.8317,5.51821
250,0.684932,374.123,0,101,3.70419,17.8218,0.496394
251,0.687671,353.258,0,101,3.4976,17.8218,2.63352
252,0.690411,335.52,0,101,3.32198,20.7921,7.43505
253,0.693151,408.112,0,101,4.04071,17.8218,-8.39794
254,0.69589,289.597,0,101,2.8673,16.8317,-0.900398
255,0.69863,411.198,0,101,4.07127,15.8416,6.95332
256,0.70137,343.555,0,101,3.40153,15.8416,-11.8722
257,0.70411,383.593,0,101,3.79795,10.8911,10.1453
258,0.706849,478.585,0,101,4.73847,8.91089,-2.81558
259,0.709589,358.361,0,101,3.54813,13.8614,-7.61659
260,0.712329,330.693,0,101,3.27419,10.8911,4.49283
261,0.715068,442.164,0,101,4.37786,15.8416,-1.17209
262,0.717808,307.781,0,101,3.04733,13.8614,-4.41921
263,0.720548,422.038,0,101,4.17859,19.802,12.0394
264,0.723288,398.809,0,101,3.94861,15.8416,1.95639
265,0.726027,427.618,0,101,4.23385,15.8416,-14.221
266,0.728767,425.753,0,101,4.21537,12.8713,0.622894
267,0.731507,391.44,0,101,3.87564,17.8218,-0.661806
268,0.734247,322.503,0,101,3.1931,14.8515,5.4094
269,0.736986,366.246,0,101,3.6262,16.8317,10.3188
270,0.739726,353.667,0,101,3.50166,16.8317,-0.594213
271,0.742466,426.374,0,101,4.22152,9.90099,-4.67522
272,0.745205,389.681,0,101,3.85822,13.8614,-0.507655
273,0.747945,399.924,0,101,3.95965,14.8515,3.94453
274,0.750685,333.328,0,101,3.30027,11.8812,-5.7809
275,0.753425,445.413,0,101,4.41003,14.8515,-5.91627
276,0.756164,326.922,0,101,3.23685,10.8911,14.1737
277,0.758904,418.269,0,101,4.14128,17.8218,-0.489744
278,0.761644,320.569,0,101,3.17395,15.8416,-4.49266
279,0.764384,406.641,0,101,4.02615,14.8515,-4.1251
280,0.767123,364.985,0,101,3.61371,17.8218,-3.51214
281,0.769863,336.658,0,101,3.33325,19.802,6.94364
282,0.772603,379.629,0,101,3.7587,17.8218,-2.74122
283,0.775342,316.016,0,101,3.12887,13.8614,10.9913
284,0.778082,434.987,0,101,4.3068,8.91089,-3.96723
285,0.780822,403.697,0,101,3.997,10.8911,-3.83887
286,0.783562,405.916,0,101,4.01897,10.8911,1.77606
287,0.786301,452.691,0,101,4.48209,16.8317,-1.66763
288,0.789041,354.692,0,101,3.51181,12.8713,-2.84358
289,0.791781,335.23,0,101,3.31911,8.91089,9.0533
290,0.794521,390.342,0,101,3.86478,11.8812,3.6796
291,0.79726,369.186,0,101,3.65531,12.8713,-7.94206
292,0.8,388.194,0,101,3.8435,12.8713,-1.42319
293,0.80274,342.748,0,101,3.39354,8.91089,3.87399
294,0.805479,424.639,0,101,4.20434,8.91089,-7.42096
295,0.808219,340.623,0,101,3.37251,11.8812,10.5992
296,0.810959,380.253,0,101,3.76488,18.8119,2.3316
297,0.813699,374.012,0,101,3.70308,21.7822,-1.64136
298,0.816438,372.613,0,101,3.68924,22.7723,-8.03753
299,0.819178,359.688,0,101,3.56127,21.7822,3.14308
300,0.821918,385.136,0,101,3.81322,16.8317,4.21954
301,0.824658,335.457,0,101,3.32136,10.8911,0.501161
302,0.827397,422.825,0,101,4.18639,12.8713,-5.82873
303,0.830137,333.732,0,101,3.30427,8.91089,10.7552
304,0.832877,352.455,0,101,3.48965,14.8515,-0.790433
305,0.835616,399.066,0,101,3.95115,17.8218,-9.96578
306,0.838356,420.939,0,101,4.16772,21.7822,5.48105
307,0.841096,418.468,0,101,4.14324,14.8515,-6.23566
308,0.843836,354.778,0,101,3.51265,17.8218,-1.83335
309,0.846575,431.201,0,101,4.26932,17.8218,0.403594
310,0.849315,268.909,0,101,2.66247,19.802,10.3342
311,0.852055,431.307,0,101,4.27036,17.8218,-7.32963
312,0.854795,267.236,0,101,2.6459,19.802,13.8036
313,0.857534,404.773,0,101,4.00765,17.8218,-7.22687
314,0.860274,313.493,0,101,3.10389,17.8218,-7.52347
315,0.863014,409.659,0,101,4.05603,19.802,-0.508313
316,0.865753,376.829,0,101,3.73098,22.7723,10.8872
317,0.868493,439.631,0,101,4.35279,20.7921,-4.30764
318,0.871233,340.967,0,101,3.37591,18.8119,6.19405
319,0.873973,401.901,0,101,3.97922,14.8515,-9.86341
320,0.876712,316.148,0,101,3.13018,16.8317,7.84483
321,0.879452,454.149,0,101,4.49653,13.8614,-1.04062
322,0.882192,430.913,0,101,4.26646,16.8317,-1.84465
323,0.884932,316.713,0,101,3.13577,20.7921,-3.11616
324,0.887671,341.261,0,101,3.37882,19.802,16.5831
325,0.890411,428.159,0,101,4.2392,19.802,-5.51498
326,0.893151,365.498,0,101,3.6188,18.8119,-10.2004
327,0.89589,379.313,0,101,3.75557,20.7921,3.77959
328,0.89863,323.553,0,101,3.2035,23.7624,2.62638
329,0.90137,437.706,0,101,4.33372,23.7624,-5.89153
330,0.90411,295.11,0,101,2.92188,19.802,3.38039
331,0.906849,435.811,0,101,4.31496,20.7921,4.24306
332,0.909589,337.579,0,101,3.34237,18.8119,-7.26633
333,0.912329,465.162,0,101,4.60557,19.802,0.859192
334,0.915068,311.071,0,101,3.07991,18.8119,6.33995
335,0.917808,337.629,0,101,3.34286,25.7426,3.44991
336,0.920548,432.972,0,101,4.28685,24.7525,-11.7495
337,0.923288,385.404,0,101,3.81589,18.8119,-1.44901
338,0.926027,386.029,0,101,3.82207,20.7921,9.26766
339,0.928767,417.434,0,101,4.13301,16.8317,0.318407
340,0.931507,335.395,0,101,3.32074,23.7624,2.59675
341,0.934247,334.133,0,101,3.30825,24.7525,7.92565
342,0.936986,369.991,0,101,3.66328,18.8119,-11.4146
343,0.939726,320.171,0,101,3.17001,25.7426,4.67909
344,0.942466,412.521,0,101,4.08437,18.8119,5.10972
345,0.945205,367.02,0,101,3.63386,17.8218,-12.1854
346,0.947945,344.785,0,101,3.41371,20.7921,9.59864
347,0.950685,451.383,0,101,4.46914,19.802,-10.9223
348,0.953425,303.37,0,101,3.00366,19.802,8.65448
349,0.956164,427.072,0,101,4.22843,16.8317,-8.18961
350,0.958904,256.761,0,101,2.54219,19.802,10.6231
351,0.961644,412.148,0,101,4.08068,16.8317,-10.8231
352,0.964384,363.398,0,101,3.598,17.8218,-7.72749
353,0.967123,319.938,0,101,3.1677,15.8416,18.3048
354,0.969863,449.036,0,101,4.4459,17.8218,0.926435
355,0.972603,422.024,0,101,4.17846,17.8218,-2.7369
356,0.975342,379.453,0,101,3.75696,14.8515,0.421804
357,0.978082,391.82,0,101,3.8794,11.8812,8.9172
358,0.980822,372.539,0,101,3.6885,10.8911,-11.0157
359,0.983562,361.192,0,101,3.57616,10.8911,-1.78662
360,0.986301,379.782,0,101,3.76022,15.8416,5.1469
361,0.989041,411.851,0,101,4.07773,10.8911,-2.90488
362,0.991781,378.35,0,101,3.74604,13.8614,2.60345
363,0.994521,351.631,0,101,3.4815,22.7723,2.2318
364,0.99726,387.426,0,101,3.8359,27.7228,-5.94417
365,1,399.284,137839,101,3.95331,25.7426,6.9744
366,1.00274,347.141,0,101,3.43704,21.7822,-11.9446
367,1.00548,351.701,0,101,3.48219,14.8515,2.62946
368,1.00822,378.718,0,101,3.74968,14.8515,9.09853
369,1.01096,368.896,0,101,3.65244,14.8515,-3.85841
370,1.0137,367.124,0,101,3.63489,9.90099,0.829011
371,1.01644,375.778,0,101,3.72058,8.91089,6.56392
372,1.01918,447.479,0,101,4.43048,18.8119,-0.0818978
373,1.02192,396.845,0,101,3.92916,16.8317,-16.1351
374,1.02466,333.128,0,101,3.29829,14.8515,5.79233
375,1.0274,481.213,0,101,4.76449,14.8515,7.60289
376,1.03014,267.529,0,101,2.6488,15.8416,0.893985
