Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
1,0.00273973,381.316,1.0447,100,3.81316,0.1,-2.22677
2,0.00547945,383.176,1.0498,100,3.83176,0.1,1.79298
3,0.00821918,373.802,1.02412,100,3.73802,0.1,0.155097
4,0.0109589,373.618,1.02361,100,3.73618,0.1,-0.0493772
5,0.0136986,345.186,0.945715,99,3.48673,0.1,-1.01056
6,0.0164384,365.241,1.00066,97,3.76537,0.0909091,1.4614
7,0.0191781,354.95,0.972465,96,3.69739,0.0721649,-0.0800377
8,0.0219178,359.858,0.985912,94,3.82827,0.0625,-0.0252949
9,0.0246575,374.461,1.02592,93,4.02647,0.0425532,-0.104172
10,0.0273973,344.506,0.943852,92,3.74463,0.0322581,0.000383651
