Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
1,0.00273973,280,0.767123,100,2.8,0.1,0
2,0.00547945,360,0.986301,100,3.6,0.1,0
3,0.00821918,315,0.863014,100,3.15,0.1,0
4,0.0109589,320,0.876712,100,3.2,0.1,0
5,0.0136986,270,0.739726,96,2.8125,0.1,0
6,0.0164384,300,0.821918,94,3.19149,0.0625,0
7,0.0191781,290,0.794521,91,3.18681,0.0425532,0
8,0.0219178,285,0.780822,91,3.13187,0.010989,0
9,0.0246575,325,0.890411,91,3.57143,0.010989,0
10,0.0273973,275,0.753425,90,3.05556,0.010989,0
11,0.030137,325,0.890411,90,3.61111,0,0
12,0.0328767,285,0.780822,90,3.16667,0,0
13,0.0356164,295,0.808219,90,3.27778,0,0
14,0.0383562,280,0.767123,90,3.11111,0,0
15,0.0410959,310,0.849315,90,3.44444,0,0
16,0.0438356,315,0.863014,90,3.5,0,0
17,0.0465753,280,0.767123,90,3.11111,0,0
18,0.0493151,300,0.821918,90,3.33333,0,0
19,0.0520548,305,0.835616,90,3.38889,0,0
20,0.0547945,270,0.739726,90,3,0,0
21,0.0575342,330,0.90411,91,3.62637,0.010989,0
22,0.060274,315,0.863014,91,3.46154,0.010989,0
23,0.0630137,310,0.849315,91,3.40659,0.010989,0
24,0.0657534,290,0.794521,91,3.18681,0.010989,0
25,0.0684932,355,0.972603,91,3.9011,0.010989,0
26,0.0712329,280,0.767123,91,3.07692,0.010989,0
27,0.0739726,300,0.821918,91,3.2967,0.010989,0
28,0.0767123,325,0.890411,91,3.57143,0.010989,0
29,0.0794521,285,0.780822,91,3.13187,0.010989,0
30,0.0821918,305,0.835616,91,3.35165,0.010989,0
31,0.0849315,300,0.821918,91,3.2967,0.010989,0
32,0.0876712,310,0.849315,91,3.40659,0.010989,0
33,0.090411,275,0.753425,91,3.02198,0.010989,0
34,0.0931507,350,0.958904,91,3.84615,0.010989,0
35,0.0958904,310,0.849315,91,3.40659,0.010989,0
36,0.0986301,305,0.835616,91,3.35165,0.010989,0
37,0.10137,305,0.835616,91,3.35165,0.010989,0
38,0.10411,290,0.794521,91,3.18681,0.010989,0
39,0.106849,325,0.890411,91,3.57143,0.010989,0
40,0.109589,315,0.863014,91,3.46154,0.010989,0
41,0.112329,295,0.808219,91,3.24176,0.010989,0
42,0.115068,280,0.767123,91,3.07692,0.010989,0
43,0.117808,325,0.890411,91,3.57143,0.010989,0
44,0.120548,325,0.890411,91,3.57143,0.010989,0
45,0.123288,300,0.821918,91,3.2967,0.010989,0
